district_id,district_name
3298,عامود 1279
3299,عامود 1280
3300,عامود 1281
3301,عامود 1282
3302,عامود 1283
3303,عامود 1284
3304,عامود 1285
3305,عامود 1286
3306,عامود 1287
3307,عامود 1288
3308,عامود 1289
3309,عامود 1290
3310,عامود 1291
3311,عامود 1292
3312,عامود 1293
3313,عامود 1294
3314,عامود 1295
3315,عامود 1296
3316,عامود 1297
3317,عامود 1298
3318,عامود 1299
3319,عامود 1300
3320,عامود 1301
3321,عامود 1302
3322,عامود 1303
3323,عامود 1304
3324,عامود 1305
3325,عامود 1306
3326,عامود 1307
3327,عامود 1308
3328,عامود 1309
3329,عامود 1310
3330,عامود 1311
3331,عامود 1312
3332,عامود 1313
3333,عامود 1314
3334,عامود 1315
3335,عامود 1316
3336,عامود 1317
3337,عامود 1318
3338,عامود 1319
3339,عامود 1320
3340,عامود 1321
3341,عامود 1322
3342,عامود 1323
3343,عامود 1324
3344,عامود 1325
3345,عامود 1326
3346,عامود 1327
3347,عامود 1328
3348,عامود 1329
3349,عامود 1330
3350,عامود 1331
3351,عامود 1332
3352,عامود 1333
3353,عامود 1334
3354,عامود 1335
3355,عامود 1336
3356,عامود 1337
3357,عامود 1338
3358,عامود 1339
3359,عامود 1340
3360,عامود 1341
3361,عامود 1342
3362,عامود 1343
3363,عامود 1344
3364,عامود 1345
3365,عامود 1346
3366,عامود 1347
3367,عامود 1348
3368,عامود 1349
3369,عامود 1350
3370,عامود 1351
3371,عامود 1352
3372,عامود 1353
3373,عامود 1354
3374,عامود 1355
3375,عامود 1356
3376,عامود 1357
3377,عامود 1358
3378,عامود 1359
3379,عامود 1360
3380,عامود 1361
3381,عامود 1362
3382,عامود 1363
3383,عامود 1364
3384,عامود 1365
3385,عامود 1366
3386,عامود 1367
3387,عامود 1368
3388,عامود 1369
3389,عامود 1370
3390,عامود 1371
3391,عامود 1372
3392,عامود 1373
3393,عامود 1374
3394,عامود 1375
3395,عامود 1376
3396,عامود 1377
3397,عامود 1378
3398,عامود 1379
3399,عامود 1380
3400,عامود 1381
3401,عامود 1382
3402,عامود 1383
3403,عامود 1384
3404,عامود 1385
3405,عامود 1386
3406,عامود 1387
3407,عامود 1388
3408,عامود 1389
3409,عامود 1390
3410,عامود 1391
3411,عامود 1392
3412,عامود 1393
3413,عامود 1394
3414,عامود 1395
3415,عامود 1396
3416,عامود 1397
3417,عامود 1398
3418,عامود 1399
3419,عامود 1400
3742,الالف دار
3758,الولاية
3759,باب بغداد
3760,مدينة الزائرين
3761,العطيشي
3762,شارع بني تميم
3763,الشبانات
3764,الحسينية
3765,طريق النجف
3766,مفرق العطيشي
3767,العباسية
3768,حي الميلاد
3769,قنطرة السلام
3770,الهندية
3771,سيطرة الوند
3772,الكراج الموحد
3773,جامعة فريحة
3920,شارع العباس
3951,حي شبانات
3952,حي المدراء
3953,حي الصمود
3954,الجابر
3955,الابراهيمية
3956,حي رمضان
3957,حي النضال
3958,سيطرة الشريفات
3959,الامام عون
3960,حي الحر
3961,حي العسكرية
3962,طريق بغداد
